3, 93120, Note_on_c, 2, 84, 66
3, 93240, Note_off_c, 2, 84, 64
3, 93360, Note_on_c, 2, 82, 66
3, 93599, Note_off_c, 2, 82, 64
3, 93840, Note_on_c, 2, 81, 65
3, 94079, Note_off_c, 2, 81, 64
3, 94320, Note_on_c, 2, 79, 66
3, 95759, Note_off_c, 2, 79, 64
3, 96239, Note_on_c, 2, 89, 75
3, 96720, Note_off_c, 2, 89, 64
3, 96720, Note_on_c, 2, 86, 77
3, 96960, Note_off_c, 2, 86, 64
3, 97200, Note_on_c, 2, 82, 72
3, 97440, Note_off_c, 2, 82, 64
3, 97680, Note_on_c, 2, 82, 85
3, 97919, Note_off_c, 2, 82, 64
3, 98160, Note_on_c, 2, 84, 86
3, 98880, Note_off_c, 2, 84, 64
3, 98880, Note_on_c, 2, 81, 76
3, 99120, Note_off_c, 2, 81, 64
3, 99120, Note_on_c, 2, 77, 77
3, 99360, Note_off_c, 2, 77, 64
3, 99600, Note_on_c, 2, 82, 92
3, 99719, Note_off_c, 2, 82, 64
3, 99840, Note_on_c, 2, 81, 81
3, 99960, Note_off_c, 2, 81, 64
3, 100080, Note_on_c, 2, 79, 77
3, 100559, Note_off_c, 2, 79, 64
3, 100559, Note_on_c, 2, 75, 73
3, 100800, Note_off_c, 2, 75, 64
3, 101039, Note_on_c, 2, 77, 88
3, 101280, Note_off_c, 2, 77, 64
3, 101520, Note_on_c, 2, 81, 91
3, 101760, Note_off_c, 2, 81, 64
3, 102000, Note_on_c, 2, 82, 89
3, 103440, Note_off_c, 2, 82, 64
3, 106800, Note_on_c, 2, 77, 89
3, 106920, Note_off_c, 2, 77, 64
3, 107040, Note_on_c, 2, 75, 92
3, 107160, Note_off_c, 2, 75, 64
3, 107280, Note_on_c, 2, 74, 89
3, 107400, Note_off_c, 2, 74, 64
3, 107519, Note_on_c, 2, 72, 90
3, 107640, Note_off_c, 2, 72, 64
3, 107760, Note_on_c, 2, 70, 94
3, 107880, Note_off_c, 2, 70, 64
3, 108720, Note_on_c, 2, 77, 88
3, 108839, Note_off_c, 2, 77, 64
3, 108960, Note_on_c, 2, 75, 90
3, 109080, Note_off_c, 2, 75, 64
3, 109200, Note_on_c, 2, 74, 92
3, 109320, Note_off_c, 2, 74, 64
3, 109440, Note_on_c, 2, 72, 93
3, 109560, Note_off_c, 2, 72, 64
3, 109679, Note_on_c, 2, 70, 86
3, 109800, Note_off_c, 2, 70, 64
3, 115440, Note_on_c, 2, 82, 86
3, 115560, Note_off_c, 2, 82, 64
3, 115680, Note_on_c, 2, 89, 114
3, 115799, Note_off_c, 2, 89, 64
3, 115920, Note_on_c, 2, 81, 74
3, 116040, Note_off_c, 2, 81, 64
3, 116160, Note_on_c, 2, 89, 113
3, 116280, Note_off_c, 2, 89, 64
3, 116400, Note_on_c, 2, 79, 73
3, 116520, Note_off_c, 2, 79, 64
3, 116639, Note_on_c, 2, 89, 122
3, 116760, Note_off_c, 2, 89, 64
3, 116880, Note_on_c, 2, 77, 75
3, 117000, Note_off_c, 2, 77, 64
3, 117119, Note_on_c, 2, 89, 121
3, 117240, Note_off_c, 2, 89, 64
3, 117360, Note_on_c, 2, 82, 87
3, 117600, Note_off_c, 2, 82, 64
3, 118320, Note_on_c, 2, 84, 90
3, 118560, Note_off_c, 2, 84, 64
3, 118799, Note_on_c, 2, 86, 101
3, 118920, Note_off_c, 2, 86, 64
3, 119040, Note_on_c, 2, 87, 101
3, 119160, Note_off_c, 2, 87, 64
3, 119279, Note_on_c, 2, 89, 107
3, 119400, Note_off_c, 2, 89, 64
3, 119520, Note_on_c, 2, 87, 90
3, 119640, Note_off_c, 2, 87, 64
3, 119760, Note_on_c, 2, 86, 88
3, 119880, Note_off_c, 2, 86, 64
3, 120000, Note_on_c, 2, 84, 90
3, 120119, Note_off_c, 2, 84, 64
3, 120240, Note_on_c, 2, 82, 90
3, 120360, Note_off_c, 2, 82, 64
3, 120480, Note_on_c, 2, 89, 114
3, 120599, Note_off_c, 2, 89, 64
3, 120720, Note_on_c, 2, 81, 81
3, 120840, Note_off_c, 2, 81, 64
3, 120959, Note_on_c, 2, 89, 113
3, 121080, Note_off_c, 2, 89, 64
3, 121200, Note_on_c, 2, 79, 78
3, 122640, Note_off_c, 2, 79, 64
3, 123120, Note_on_c, 2, 89, 82
3, 123599, Note_off_c, 2, 89, 64
3, 123599, Note_on_c, 2, 86, 82
3, 123960, Note_off_c, 2, 86, 64
3, 124079, Note_on_c, 2, 82, 84
3, 124320, Note_off_c, 2, 82, 64
3, 124560, Note_on_c, 2, 82, 91
3, 124800, Note_off_c, 2, 82, 64
3, 125040, Note_on_c, 2, 84, 101
3, 126000, Note_off_c, 2, 84, 64
3, 126000, Note_on_c, 2, 77, 76
3, 126239, Note_off_c, 2, 77, 64
3, 126960, Note_on_c, 2, 79, 88
3, 127919, Note_off_c, 2, 79, 64
3, 127919, Note_on_c, 2, 77, 87
3, 128160, Note_off_c, 2, 77, 64
3, 128399, Note_on_c, 2, 81, 110
3, 128640, Note_off_c, 2, 81, 64
3, 128880, Note_on_c, 2, 82, 105
3, 129840, Note_off_c, 2, 82, 64
3, 136080, Note_on_c, 2, 79, 51
3, 136560, Note_off_c, 2, 79, 64
3, 136560, Note_on_c, 2, 82, 62
3, 137280, Note_off_c, 2, 82, 64
3, 137280, Note_on_c, 2, 81, 53
3, 137520, Note_off_c, 2, 81, 64
3, 137520, Note_on_c, 2, 79, 56
3, 138000, Note_off_c, 2, 79, 64
3, 138000, Note_on_c, 2, 81, 65
3, 138480, Note_off_c, 2, 81, 64
3, 138480, Note_on_c, 2, 84, 57
3, 138840, Note_off_c, 2, 84, 64
3, 139440, Note_on_c, 2, 91, 49
3, 139680, Note_off_c, 2, 91, 64
3, 139680, Note_on_c, 2, 89, 52
3, 139920, Note_off_c, 2, 89, 64
3, 139920, Note_on_c, 2, 86, 55
